2000UY33,0.05434,1.1851
2000PN8,0.217068,1.5241
2000EU70,0.767217,3.9171
2000DN1,0.667091,4.8217
2000RK12,0.68638,4.2455
2000WT28,0.604747,4.1169
2000BO19,0.385855,1.6667
2000HP40,0.160034,1.4982
2000CL33,0.554557,3.839
2000LK10,0.407788,2.9944
2000KP44,0.751578,3.3488
2000BO28,0.599969,2.7175
2000WS28,0.565474,3.2213
2000SZ162,0.167738,1.0847
2000AH205,0.405927,1.6093
2000WN148,0.173545,1.4853
2000BK19,0.584005,3.8156
2000SE8,0.598015,3.9708
2000PQ27,0.421358,3.1674
2000GV127,0.615067,4.5925
2000SZ44,0.500313,3.6712
2000DO8,0.616384,3.9976
2000TL1,0.300301,1.7399
2000RE52,0.247832,1.4406
2000CM33,0.27209,1.6828
2000GB2,0.596204,3.9404
2000WJ63,0.591307,4.5151
2000FX13,0.336839,2.4396
2000UK11,0.248749,1.1028
2001SO263,0.437308,3.2063
2001BY15,0.516437,4.0264
2001XG1,0.599396,3.1977
2001CQ36,0.177081,1.1038
2001WH49,0.31996,1.9351
2001UC5,0.631966,4.4602
2001OC36,0.47892,2.0831
2001YB1,0.2899,2.1471
2001PU9,0.504985,3.3774
2001YN2,0.719342,4.2968
2001FC90,0.377231,2.5081
2001KD68,0.505655,3.59
2001VC2,0.132161,1.1785
2001GM2,0.485288,2.4918
2001UG18,0.539764,3.7154
2001RP3,0.559923,3.6542
2001BC16,0.442877,2.4675
2001UB5,0.342508,2.2907
2001FB90,0.776691,4.3715
2001UN16,0.450346,2.605
2001RQ17,0.49419,2.9955
2001PH9,0.540474,4.1938
2001YO2,0.687749,2.1838
2001YU3,0.464025,2.8452
2001XH16,0.629252,3.4441
2001GP2,0.073867,1.114
2001GS2,0.381911,2.4606
2001UE5,0.513423,3.3551
2001UO27,0.520343,3.9934
2001JW1,0.068738,1.2593
2001TC,0.540199,3.5596
2001UO,0.663515,4.2668
2001HL31,0.783759,4.3187
2001BB16,0.172203,1.0026
2001FR85,0.027893,1.0103
2001GT2,0.630803,3.9213
2001SZ269,0.662003,3.9293
2001AV43,0.240886,1.5928
2001XW10,0.768629,3.7175
2001WN15,0.836001,4.204
2001YB5,0.864725,4.3632
2001UW17,0.232303,1.9199
2001YV3,0.718887,3.3466
2001HK31,0.574543,3.8363
2001XO88,0.603388,4.0127
2001SB170,0.463807,1.9917
2001WJ4,0.216629,1.5279
2001WH1,0.797634,4.438
2001FE7,0.480279,3.0698
2001YM4,0.389081,2.3906
2001RX17,0.534481,4.0011
2001HJ31,0.587338,3.2849
2001BB40,0.386632,2.2735
2001GO2,0.168201,1.176
2001UX4,0.752417,3.0171
2001NJ6,0.409425,3.061
2001QG142,0.54863,3.6638
2001KW18,0.158667,1.4417
2001KU66,0.225406,1.5847
2001YR3,0.376896,2.3301
2001XX103,0.666971,3.4177
2001FZ,0.574636,3.82
2001VB,0.897439,4.5724
2001OT,0.322763,1.2356
2001TY44,0.521858,3.5879
2001TC45,0.642236,3.6467
2001XQ31,0.575276,4.4882
2001XP,0.465514,1.6638
2001VJ75,0.603779,4.2849
2001TB45,0.573388,4.7282
2001UD5,0.665362,3.7987
2001SG286,0.347305,1.8299
2001XG105,0.334731,2.0058
2001CA21,0.773761,2.936
2001TE45,0.464362,2.6519
2001FR128,0.40411,1.7468
2001RX47,0.422611,2.8737
2001KO41,0.438469,2.9094
2001SH276,0.180664,1.2141
2001PG14,0.335526,1.9679
2001TB,0.52488,2.612
